name,avg_func_loc,cyclomatic,cyclomaticDensity,dependencies,hal_bugs,hal_difficulty,hal_distinct_operands,hal_distinct_operators,hal_effort,hal_length,hal_time,hal_total_operands,hal_total_operators,hal_vocabulary,hal_volume,line,logical_loc,params,physical_loc
tasks/npm-react-noop.js,5.75,3,8.57142857143,2,0.435179094203,10.813559322,59,11,14117.5048526,213,784.305825146,116,97,70,1305.53728261,1,35,1,52
tasks/npm-react-test.js,5.75,3,8.57142857143,2,0.435179094203,10.813559322,59,11,14117.5048526,213,784.305825146,116,97,70,1305.53728261,1,35,1,52
tasks/npm-react.js,6.0,3,6.81818181818,2,0.643493287226,12.5821917808,73,11,24289.6678487,302,1349.42599159,167,135,84,1930.47986168,1,44,2,75
tasks/npm.js,5.0,6,11.7647058824,4,0.758989976852,23.8717948718,78,19,54355.3591114,345,3019.74217286,196,149,97,2276.96993055,1,51,12,100
tasks/release.js,4.0,3,4.91803278689,1,0.731439013749,14.6627906977,86,13,32174.8115001,331,1787.48952779,194,137,99,2194.31704125,1,61,7,117
tasks/eslint.js,3.0,3,21.4285714286,2,0.19571509699,10.6842105263,38,14,6273.18389824,103,348.510216569,58,45,52,587.145290969,10,14,4,39
tasks/flow.js,3.0,3,21.4285714286,2,0.198567909092,10.5897435897,39,14,6308.34972729,104,350.463873738,59,45,53,595.703727275,10,14,4,40
tasks/version-check.js,7.0,3,13.0434782609,7,0.269074111389,9.41111111111,45,11,7596.85907821,139,422.047726567,77,62,56,807.222334166,10,23,4,48
jsx_orphaned_brackets_transformer/run.js,4.8125,15,15.4639175258,6,1.19086321806,31.28125,96,21,111755.07012,520,6208.61500666,286,234,117,3572.58965418,3,97,24,164
react-dom/index.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,1,2,0,3
react-dom/server.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,1,2,0,3
react-linked-input/LinkedInput.js,4.0,1,25.0,2,0.0222026383088,2.22222222222,9,4,148.017588726,18,8.22319937365,10,8,13,66.6079149265,10,4,0,17
react-native-renderer/index.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,1,2,0,3
react-noop-renderer/index.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,1,2,0,3
react-test-renderer/index.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,1,2,0,3
react/react.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,1,2,0,3
babel/transform-object-assign-require.js,4.0,4,18.1818181818,0,0.271377642466,13.1351351351,37,12,10693.7460193,145,594.097001073,81,64,49,814.132927397,10,22,8,43
bench/bench-createclass.js,0.0,1,0.242130750605,0,4.52559055193,12.3357664234,274,8,167479.883929,1668,9304.43799607,845,823,282,13576.7716558,1,413,0,243
bench/bench-pe-es5.js,11.8507462687,499,12.5629405841,0,77.3045991994,48.076652602,1422,11,11149639.0807,22119,619424.393374,12430,9689,1433,231913.797598,1,3972,0,5113
bench/bench-pe-sfc-es5.js,10.2119402985,499,14.5778556822,0,65.7883200617,48.7969255663,1236,11,9630803.27155,19191,535044.626197,10966,8225,1247,197364.960185,1,3423,183,4198
bench/extract-component.js,15.125,41,31.7829457364,2,1.84797058972,36.8371212121,132,25,204221.74983,760,11345.6527683,389,371,157,5543.91176916,13,129,9,195
error-codes/Types.js,1.0,1,100.0,0,0.0,0.0,1,0,0.0,1,0.0,1,0,1,0.0,11,1,0,1
error-codes/dev-expression-with-codes.js,11.0,10,16.393442623,3,1.10084072683,21.9574468085,94,16,72514.955112,487,4028.60861733,258,229,110,3302.52218049,9,61,5,182
error-codes/evalToString.js,9.0,4,33.3333333333,0,0.090682311909,11.78125,16,13,3205.05296154,56,178.058497863,29,27,29,272.046935727,11,12,1,17
error-codes/gulp-extract-errors.js,7.8,8,15.0943396226,9,0.669652387316,18.3908045977,87,20,36946.3386105,298,2052.57436725,160,138,107,2008.95716195,9,53,6,109
error-codes/invertObject.js,8.0,2,18.1818181818,0,0.0830411016872,10.2666666667,15,11,2557.66593196,53,142.092551776,28,25,26,249.123305061,11,11,1,25
error-codes/print-warnings.js,4.66666666667,3,10.0,7,0.408197930878,9.13846153846,65,11,11190.9032742,196,621.716848569,108,88,76,1224.59379263,9,30,6,69
facts-tracker/index.js,10.0,21,25.0,3,1.51994343273,30.0437956204,137,24,136994.609543,622,7610.81164126,343,279,161,4559.83029819,12,84,2,182
jest/environment.js,1.0,1,20.0,0,0.0286797000058,3.5,8,4,301.136850061,24,16.7298250034,14,10,12,86.0391000173,2,5,2,12
jest/preprocessor.js,12.0,5,13.8888888889,7,0.58583200346,14.4552238806,67,13,25404.9982993,278,1411.3887944,149,129,80,1757.49601038,1,36,2,84
jest/setupSpecEquivalenceReporter.js,2.0,1,11.1111111111,0,0.0596045125094,6.3,15,9,1126.52528643,39,62.5847381348,21,18,24,178.813537528,10,9,0,22
jest/test-framework-setup.js,3.0,2,6.66666666667,0,0.267920666753,9.28571428571,42,10,7463.50428811,141,414.639127117,78,63,52,803.762000258,1,30,3,106
jest/ts-preprocessor.js,5.33333333333,8,13.5593220339,3,0.704921587268,16.1927710843,83,16,34243.9016851,319,1902.43898251,168,151,99,2114.76476181,1,59,10,97
perf-counters/index.js,2.0,1,50.0,1,0.0105664166715,1.5,6,3,47.5488750216,10,2.64160416787,6,4,9,31.6992500144,1,2,0,3
