name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc
org.apache.tools.ant.taskdefs.AntStructure,8.0,3.0,0.0,30.0,53.0,24.0,0.0,30.0,3.0,0.8,519.0,0.6,0.0,0.840909090909,0.333333333333,0.0,0.0,63.25,1.25,3.0
org.apache.tools.ant.taskdefs.GUnzip,4.0,3.0,0.0,15.0,32.0,2.0,0.0,15.0,4.0,0.666666666667,216.0,1.0,0.0,0.925,0.75,1.0,1.0,52.5,1.0,1.0
org.apache.tools.ant.taskdefs.Jar,6.0,5.0,0.0,14.0,22.0,13.0,0.0,14.0,3.0,0.8,91.0,1.0,0.0,0.963235294118,0.625,2.0,3.0,14.0,1.0,1.0
org.apache.tools.ant.taskdefs.XSLTProcess,8.0,4.0,0.0,14.0,36.0,2.0,0.0,14.0,7.0,0.685714285714,331.0,1.0,1.0,0.917647058824,0.625,2.0,2.0,39.75,1.0,1.0
org.apache.tools.ant.ProjectHelper,13.0,1.0,0.0,37.0,59.0,52.0,9.0,29.0,2.0,0.733333333333,369.0,1.0,1.0,0.0,0.185185185185,0.0,0.0,27.0,1.07692307692,2.0
org.apache.tools.ant.taskdefs.Copyfile,5.0,3.0,0.0,10.0,16.0,0.0,0.0,10.0,5.0,0.666666666667,73.0,1.0,0.0,0.90243902439,0.8,0.0,0.0,13.0,1.0,1.0
org.apache.tools.ant.Main,8.0,1.0,0.0,29.0,60.0,20.0,0.0,29.0,1.0,0.625,701.0,0.875,0.0,0.0,0.25,0.0,0.0,85.625,1.25,2.0
org.apache.tools.ant.taskdefs.JikesOutputParser,7.0,1.0,0.0,8.0,14.0,1.0,2.0,6.0,0.0,0.722222222222,122.0,1.0,1.0,0.0,0.4,0.0,0.0,15.5714285714,1.57142857143,4.0
org.apache.tools.ant.ProjectHelper$AbstractHandler,4.0,2.0,4.0,16.0,15.0,0.0,4.0,12.0,4.0,0.333333333333,70.0,1.0,1.0,0.823529411765,0.392857142857,0.0,0.0,16.0,1.0,1.0
org.apache.tools.ant.taskdefs.Ant,8.0,3.0,0.0,20.0,43.0,0.0,0.0,20.0,8.0,0.714285714286,249.0,0.666666666667,1.0,0.840909090909,0.75,1.0,1.0,29.375,1.5,5.0
